Year (AD) ,JJAS Temperature (deg C)
2004,15.26
2003,12.77
2002,13.74
2001,11.99
2000,13.26
1999,14.11
1998,13.69
1997,14.99
1996,11.62
1995,14.43
1994,12.62
1993,13.69
1992,11.94
1991,13.6
1990,13.79
1989,13.36
1988,13.41
1987,12.91
1986,12.93
1985,13.28
1984,13.07
1983,11.64
1982,13.86
1981,11.21
1980,12.25
1979,13.96
1978,14.05
1977,15.27
1976,13.95
1975,12.48
1974,14.64
1973,12.76
1972,13.07
1971,12.63
1970,12.14
1969,13.12
1968,13.63
1967,11
1966,12.7
1965,12.98
1964,12.34
1963,11.6
1962,13.39
1961,12.71
1960,11.95
1959,12.14
1958,14.42
1957,13.37
1956,12.33
1955,12.97
1954,13.04
1953,13.12
1952,11.89
1951,12.16
1950,14.74
1949,11.66
1948,7.28
1947,13.1
1946,10.96
1945,11.98
1944,11.99
1943,11.33
1942,13.14
1941,12.62
1940,14.54
1939,12.62
1938,12.08
1937,13.07
1936,12.13
1935,12.3
1934,12.4
1933,11.26
1932,11.18
1931,9
1930,9.71
1929,11.06
1928,10.65
1927,11.59
1926,10.79
1925,11.56
1924,9.3
1923,11.78
1922,8.17
1921,11.69
1920,9.35
1919,10.5
1918,9.54
1917,9.84
1916,10.21
1915,10.78
1914,8.91
1913,10.73
1912,7.41
1911,10.03
1910,9.97
1909,9.59
1908,10.46
1907,9.92
1906,9.81
1905,8.86
1904,8.1
1903,9.04
1902,8.26
1901,8.79
1900,9.76
1899,8.72
1898,9.15
1897,9.56
1896,8.26
1895,8.84
1894,8.65
1893,9.79
1892,8.85
1891,9.43
1890,7.84
1889,8.38
1888,9.78
1887,8.35
1886,8.91
1885,9.12
1884,9.38
1883,10.19
1882,9.72
1881,9.56
1880,10.3
1879,10.98
1878,10.42
1877,10.87
1876,10.2
1875,10.42
1874,9.25
1873,10.77
1872,10.56
1871,10.1
