## This file contains the the median and 95% range (2.5th and 97.5th percentiles) of the full 7000-member ensemble accross all methods of the PAGES2k Consortium 2019 global mean temperature reconstructions.
## We recommend working with the full ensemble provided in the other files in this data compilation for a more robust analysis of GMST.
## The columns in this table are: Year CE, raw instrumental target data, reconstruction ensemble 50th, 2.5th and 97.5th percentiles, 31-year butterworth filtered instrumental target data, 31-year butterworth filtered reconstruction 50th, 2.5th and 97.5th percentiles
## All values are °C wrt 1961-1990 over the April-March annual average.
Year	Cowtan & Way instrumental target	Full ensemble median	Full ensemble 2.5th percentile	Full ensemble 97.5th percentile	Cowtan & Way instrumental target 31-year filtered	31-year filtered full ensemble median	31-year filtered full ensemble 2.5th percentile	31-year filtered full ensemble 97.5th percentile
1794	NA	-0.2889	-0.5674	-0.0804	NA	-0.3507	-0.6212	-0.1744
1795	NA	-0.3469	-0.6035	-0.1137	NA	-0.352	-0.6213	-0.1755
1796	NA	-0.2922	-0.5729	-0.0887	NA	-0.3535	-0.6216	-0.1771
1797	NA	-0.3709	-0.6263	-0.1099	NA	-0.3555	-0.6223	-0.1787
1798	NA	-0.2402	-0.5263	-0.0277	NA	-0.358	-0.6248	-0.1802
1799	NA	-0.3264	-0.5811	-0.0839	NA	-0.3607	-0.6284	-0.1825
1800	NA	-0.3487	-0.5944	-0.1105	NA	-0.3641	-0.631	-0.1843
1801	NA	-0.2909	-0.5633	-0.0603	NA	-0.3677	-0.6343	-0.1869
1802	NA	-0.308	-0.6094	-0.1055	NA	-0.3718	-0.637	-0.1901
1803	NA	-0.2369	-0.539	-0.0188	NA	-0.3763	-0.64	-0.1936
1804	NA	-0.1819	-0.4302	0.0463	NA	-0.3812	-0.6438	-0.1976
1805	NA	-0.3112	-0.55	-0.0796	NA	-0.386	-0.6472	-0.2019
1806	NA	-0.3508	-0.5829	-0.1014	NA	-0.3911	-0.6512	-0.2069
1807	NA	-0.2959	-0.5527	-0.0667	NA	-0.3964	-0.6553	-0.2114
1808	NA	-0.3168	-0.5961	-0.0888	NA	-0.4015	-0.6605	-0.2163
1809	NA	-0.5006	-0.7447	-0.2639	NA	-0.4068	-0.6654	-0.2208
1810	NA	-0.5449	-0.803	-0.2869	NA	-0.4117	-0.6703	-0.2253
1811	NA	-0.4628	-0.704	-0.2128	NA	-0.4166	-0.6747	-0.2298
1812	NA	-0.5112	-0.7659	-0.2729	NA	-0.4209	-0.679	-0.2346
1813	NA	-0.4819	-0.7469	-0.2557	NA	-0.4252	-0.684	-0.2389
1814	NA	-0.5156	-0.7907	-0.2753	NA	-0.4294	-0.6883	-0.2434
1815	NA	-0.5709	-0.8715	-0.3409	NA	-0.433	-0.6925	-0.2471
1816	NA	-0.5579	-0.8778	-0.3299	NA	-0.4364	-0.6963	-0.2505
1817	NA	-0.5299	-0.7944	-0.2939	NA	-0.4394	-0.6994	-0.2538
1818	NA	-0.5668	-0.829	-0.3268	NA	-0.4423	-0.7021	-0.2569
1819	NA	-0.5398	-0.7887	-0.2928	NA	-0.4448	-0.7052	-0.2588
1820	NA	-0.5119	-0.7593	-0.2777	NA	-0.447	-0.7071	-0.2611
1821	NA	-0.5595	-0.829	-0.3137	NA	-0.4491	-0.7087	-0.2635
1822	NA	-0.4709	-0.7209	-0.2367	NA	-0.4507	-0.7101	-0.2659
1823	NA	-0.3849	-0.6629	-0.1617	NA	-0.4519	-0.712	-0.2684
1824	NA	-0.425	-0.6638	-0.1967	NA	-0.4533	-0.713	-0.2693
1825	NA	-0.3889	-0.6314	-0.1517	NA	-0.4547	-0.7143	-0.2712
1826	NA	-0.3918	-0.6201	-0.1449	NA	-0.456	-0.7156	-0.2733
1827	NA	-0.4447	-0.7028	-0.2099	NA	-0.4571	-0.7164	-0.2754
1828	NA	-0.3442	-0.5737	-0.1039	NA	-0.4579	-0.7178	-0.2772
1829	NA	-0.3461	-0.5803	-0.1126	NA	-0.4589	-0.7175	-0.2792
1830	NA	-0.3747	-0.5855	-0.1101	NA	-0.4597	-0.7182	-0.2798
1831	NA	-0.3737	-0.6198	-0.1352	NA	-0.4604	-0.72	-0.2815
1832	NA	-0.4799	-0.7929	-0.215	NA	-0.461	-0.7199	-0.2834
1833	NA	-0.4597	-0.7514	-0.2123	NA	-0.4616	-0.719	-0.2851
1834	NA	-0.4116	-0.6669	-0.1837	NA	-0.4618	-0.7179	-0.2866
1835	NA	-0.5258	-0.8101	-0.2902	NA	-0.4622	-0.7166	-0.2881
1836	NA	-0.6055	-0.9071	-0.3354	NA	-0.4623	-0.7167	-0.2893
1837	NA	-0.5813	-0.8582	-0.3356	NA	-0.4624	-0.7169	-0.2903
1838	NA	-0.4905	-0.7618	-0.2489	NA	-0.4623	-0.717	-0.2903
1839	NA	-0.4781	-0.7359	-0.2417	NA	-0.4618	-0.7168	-0.2902
1840	NA	-0.4959	-0.7718	-0.2779	NA	-0.4611	-0.7164	-0.2899
1841	NA	-0.5194	-0.7717	-0.28	NA	-0.4602	-0.7157	-0.29
1842	NA	-0.537	-0.7724	-0.2996	NA	-0.459	-0.7148	-0.2893
1843	NA	-0.5528	-0.7879	-0.3184	NA	-0.4574	-0.7136	-0.2882
1844	NA	-0.4488	-0.729	-0.2219	NA	-0.4558	-0.7097	-0.2872
1845	NA	-0.5141	-0.7959	-0.2864	NA	-0.4538	-0.7054	-0.2859
1846	NA	-0.3862	-0.7114	-0.1532	NA	-0.4518	-0.701	-0.284
1847	NA	-0.4639	-0.7618	-0.2623	NA	-0.4497	-0.6965	-0.2823
1848	NA	-0.4388	-0.7611	-0.2424	NA	-0.4473	-0.6922	-0.2808
1849	NA	-0.5368	-0.8073	-0.3004	NA	-0.4446	-0.6899	-0.2786
1850	-0.3898	-0.4575	-0.7622	-0.2386	NA	-0.4421	-0.686	-0.2761
1851	-0.2612	-0.4036	-0.6548	-0.1435	NA	-0.4396	-0.6829	-0.2738
1852	-0.2256	-0.3063	-0.5879	-0.0767	NA	-0.4367	-0.6799	-0.2711
1853	-0.3349	-0.3508	-0.6399	-0.1615	NA	-0.4339	-0.6769	-0.2684
1854	-0.2441	-0.4011	-0.6955	-0.1447	NA	-0.4312	-0.6739	-0.2656
1855	-0.2971	-0.3896	-0.6665	-0.1639	NA	-0.4282	-0.6708	-0.2624
1856	-0.4321	-0.4766	-0.7237	-0.2526	NA	-0.4253	-0.6677	-0.2593
1857	-0.4832	-0.462	-0.7191	-0.2517	NA	-0.4225	-0.6646	-0.2566
1858	-0.4247	-0.4149	-0.6946	-0.223	NA	-0.4194	-0.6614	-0.2536
1859	-0.4103	-0.4818	-0.7296	-0.2717	NA	-0.4164	-0.6582	-0.2501
1860	-0.5067	-0.4142	-0.6894	-0.22	NA	-0.4132	-0.655	-0.2467
1861	-0.4735	-0.3807	-0.6529	-0.18	NA	-0.4103	-0.6512	-0.2434
1862	-0.5151	-0.4721	-0.7139	-0.2491	NA	-0.4076	-0.6473	-0.2395
1863	-0.4665	-0.4219	-0.7126	-0.2007	NA	-0.4045	-0.6436	-0.2359
1864	-0.4342	-0.4589	-0.7046	-0.2319	NA	-0.4015	-0.6398	-0.2325
1865	-0.3306	-0.4466	-0.7007	-0.1688	-0.3591	-0.3984	-0.6367	-0.2288
1866	-0.3454	-0.4526	-0.6981	-0.2218	-0.3581	-0.3954	-0.6347	-0.2255
1867	-0.4041	-0.4279	-0.6756	-0.2151	-0.3571	-0.3925	-0.6328	-0.2219
1868	-0.2154	-0.3481	-0.6167	-0.103	-0.356	-0.3896	-0.6305	-0.2186
1869	-0.3391	-0.4184	-0.6934	-0.1999	-0.3549	-0.387	-0.6279	-0.2151
1870	-0.3617	-0.3736	-0.6382	-0.1687	-0.354	-0.3844	-0.6254	-0.2124
1871	-0.3829	-0.4096	-0.6135	-0.1614	-0.3531	-0.3821	-0.6231	-0.2089
1872	-0.2654	-0.3557	-0.6031	-0.1297	-0.3523	-0.38	-0.621	-0.2057
1873	-0.3463	-0.3607	-0.6155	-0.1563	-0.3517	-0.3779	-0.619	-0.203
1874	-0.4206	-0.3924	-0.6249	-0.1772	-0.3513	-0.376	-0.6173	-0.2006
1875	-0.3498	-0.341	-0.5693	-0.1256	-0.3511	-0.3743	-0.6144	-0.1993
1876	-0.3556	-0.3597	-0.628	-0.1654	-0.3512	-0.3727	-0.6117	-0.198
1877	0.0027	-0.2864	-0.5739	0.108	-0.3515	-0.3713	-0.6093	-0.1967
1878	-0.0876	-0.2328	-0.5149	0.0403	-0.3522	-0.3702	-0.6071	-0.1954
1879	-0.3031	-0.3565	-0.5894	-0.1315	-0.3531	-0.3692	-0.6051	-0.1942
1880	-0.2725	-0.4119	-0.6569	-0.1578	-0.3543	-0.3682	-0.6046	-0.1935
1881	-0.1944	-0.3693	-0.6129	-0.1008	-0.3557	-0.3674	-0.6044	-0.193
1882	-0.3816	-0.3428	-0.5928	-0.1386	-0.3573	-0.3671	-0.6042	-0.1918
1883	-0.3526	-0.3659	-0.6652	-0.0992	-0.3591	-0.3666	-0.6041	-0.1906
1884	-0.5511	-0.4816	-0.7631	-0.2534	-0.3609	-0.3661	-0.604	-0.1895
1885	-0.4982	-0.4452	-0.7127	-0.2407	-0.3627	-0.3659	-0.6039	-0.1884
1886	-0.4891	-0.3711	-0.6188	-0.1376	-0.3645	-0.3653	-0.6039	-0.1878
1887	-0.4602	-0.4303	-0.7038	-0.2469	-0.3662	-0.3646	-0.6037	-0.1871
1888	-0.2331	-0.3246	-0.6068	-0.1138	-0.3679	-0.364	-0.6022	-0.1866
1889	-0.325	-0.2813	-0.5629	-0.1002	-0.3695	-0.3633	-0.6007	-0.1864
1890	-0.4485	-0.3757	-0.6188	-0.1631	-0.3709	-0.3623	-0.6009	-0.1861
1891	-0.3524	-0.3379	-0.5698	-0.1184	-0.3723	-0.3612	-0.5999	-0.1859
1892	-0.5452	-0.4428	-0.6891	-0.2177	-0.3735	-0.3603	-0.5989	-0.1856
1893	-0.3981	-0.4118	-0.6292	-0.1784	-0.3745	-0.3589	-0.5987	-0.1851
1894	-0.4371	-0.3517	-0.5926	-0.1317	-0.3754	-0.3574	-0.5985	-0.1842
1895	-0.3299	-0.3469	-0.597	-0.1527	-0.3762	-0.3561	-0.5983	-0.1846
1896	-0.1989	-0.272	-0.5389	-0.0756	-0.3768	-0.3547	-0.598	-0.1849
1897	-0.2808	-0.2421	-0.5048	-0.0637	-0.3772	-0.3531	-0.5977	-0.1847
1898	-0.4435	-0.2837	-0.5997	-0.0989	-0.3776	-0.3517	-0.5974	-0.1845
1899	-0.2501	-0.3595	-0.6458	-0.1337	-0.3777	-0.3502	-0.597	-0.1847
1900	-0.1879	-0.2479	-0.5399	-0.0457	-0.3776	-0.3487	-0.5964	-0.1855
1901	-0.2681	-0.2338	-0.5252	-0.0628	-0.3773	-0.3474	-0.5958	-0.1859
1902	-0.3776	-0.3486	-0.6397	-0.1746	-0.3768	-0.3459	-0.5949	-0.1866
1903	-0.5577	-0.3843	-0.6875	-0.1798	-0.3759	-0.3442	-0.5938	-0.1865
1904	-0.4792	-0.3525	-0.6629	-0.1592	-0.3746	-0.3427	-0.5925	-0.1862
1905	-0.2996	-0.3587	-0.6492	-0.1382	-0.3729	-0.3409	-0.5906	-0.1852
1906	-0.3104	-0.3318	-0.5978	-0.1452	-0.3707	-0.3392	-0.5877	-0.1839
1907	-0.4491	-0.4249	-0.6944	-0.1648	-0.368	-0.3373	-0.5845	-0.1818
1908	-0.5071	-0.3469	-0.6691	-0.1359	-0.3647	-0.3354	-0.5809	-0.1798
1909	-0.4936	-0.4391	-0.6862	-0.2079	-0.3609	-0.333	-0.5772	-0.1776
1910	-0.5371	-0.4498	-0.7171	-0.2279	-0.3565	-0.3303	-0.5745	-0.1736
1911	-0.4446	-0.391	-0.6413	-0.1828	-0.3514	-0.3273	-0.5698	-0.1705
1912	-0.4832	-0.4209	-0.659	-0.2063	-0.3458	-0.3235	-0.5647	-0.1664
1913	-0.3369	-0.3766	-0.6194	-0.1659	-0.3395	-0.3194	-0.559	-0.1609
1914	-0.2282	-0.3185	-0.5718	-0.0972	-0.3327	-0.3145	-0.553	-0.155
1915	-0.1973	-0.2827	-0.5283	-0.0591	-0.3254	-0.3082	-0.547	-0.149
1916	-0.5141	-0.3963	-0.6462	-0.1438	-0.3176	-0.3016	-0.5406	-0.1424
1917	-0.4546	-0.4029	-0.6368	-0.1649	-0.3093	-0.2944	-0.5341	-0.1353
1918	-0.3071	-0.3408	-0.5784	-0.1218	-0.3006	-0.2866	-0.5266	-0.1278
1919	-0.3229	-0.3052	-0.5359	-0.0829	-0.2915	-0.2782	-0.519	-0.1196
1920	-0.2606	-0.2837	-0.5146	-0.0726	-0.282	-0.2694	-0.5111	-0.1108
1921	-0.2349	-0.268	-0.4872	-0.0416	-0.2722	-0.2604	-0.5028	-0.1014
1922	-0.3255	-0.2549	-0.4916	-0.0315	-0.2622	-0.2513	-0.4943	-0.093
1923	-0.2351	-0.2545	-0.4792	-0.0264	-0.2519	-0.2417	-0.4856	-0.0841
1924	-0.3181	-0.2268	-0.4754	0.0105	-0.2415	-0.2323	-0.4767	-0.0766
1925	-0.1259	-0.1935	-0.4621	0.0162	-0.2309	-0.2223	-0.4676	-0.0682
1926	-0.1792	-0.1868	-0.4575	0.0122	-0.2204	-0.2126	-0.4583	-0.0588
1927	-0.1566	-0.2279	-0.4532	-0.0029	-0.2098	-0.2029	-0.4482	-0.0491
1928	-0.2756	-0.2407	-0.4675	-0.0134	-0.1992	-0.1933	-0.4372	-0.0388
1929	-0.307	-0.2421	-0.4708	-0.0185	-0.1887	-0.1836	-0.4265	-0.0286
1930	-0.111	-0.1068	-0.3575	0.0974	-0.1783	-0.1741	-0.4182	-0.0182
1931	-0.0642	-0.12	-0.3874	0.0769	-0.1681	-0.1649	-0.4084	-0.0082
1932	-0.1819	-0.1517	-0.4137	0.0397	-0.1581	-0.1557	-0.3978	0.0013
1933	-0.2821	-0.1828	-0.4347	0.0343	-0.1484	-0.1466	-0.3872	0.0114
1934	-0.1148	-0.088	-0.3301	0.1163	-0.139	-0.1379	-0.3782	0.0209
1935	-0.2324	-0.1159	-0.3771	0.1011	-0.13	-0.1294	-0.3705	0.0286
1936	-0.0743	-0.0722	-0.3176	0.1335	-0.1213	-0.1213	-0.3632	0.0377
1937	0.0364	-0.0317	-0.305	0.1606	-0.1132	-0.1139	-0.3563	0.0456
1938	-0.0407	-0.0366	-0.308	0.1515	-0.1055	-0.1068	-0.3499	0.0534
1939	0.0166	-0.007	-0.2709	0.201	-0.0985	-0.1001	-0.344	0.0605
1940	0.0616	0.0359	-0.2588	0.2473	-0.092	-0.0939	-0.3385	0.0669
1941	0.0638	-0.0454	-0.3284	0.1905	-0.0862	-0.0881	-0.3336	0.0725
1942	-0.0357	-0.007	-0.2749	0.1822	-0.081	-0.0827	-0.328	0.0775
1943	0.1014	-0.0143	-0.3165	0.2042	-0.0765	-0.0779	-0.3225	0.0821
1944	0.0809	-0.0293	-0.3158	0.1882	-0.0726	-0.0733	-0.3176	0.0864
1945	0.014	0.006	-0.2553	0.2013	-0.0692	-0.0692	-0.3131	0.0901
1946	-0.0741	-0.0508	-0.322	0.1303	-0.0665	-0.0655	-0.309	0.0939
1947	-0.0311	-0.0772	-0.3164	0.1223	-0.0641	-0.0625	-0.3057	0.0969
1948	-0.0717	-0.0629	-0.2879	0.1553	-0.0623	-0.0596	-0.3029	0.1001
1949	-0.1709	-0.1246	-0.3315	0.0989	-0.0608	-0.0567	-0.3003	0.103
1950	-0.2271	-0.0366	-0.3259	0.2023	-0.0596	-0.0544	-0.2979	0.1054
1951	0.0639	-0.0097	-0.2781	0.182	-0.0587	-0.0525	-0.2962	0.1077
1952	0.0436	-0.0195	-0.2674	0.1925	-0.0581	-0.0505	-0.2938	0.1094
1953	0.0437	0.0085	-0.2509	0.2053	-0.0576	-0.0487	-0.292	0.1108
1954	-0.0978	-0.0204	-0.297	0.1681	-0.0573	-0.0473	-0.2895	0.1128
1955	-0.1931	-0.0393	-0.3079	0.219	-0.0571	-0.0455	-0.2872	0.1139
1956	-0.2006	-0.1278	-0.361	0.0974	-0.0569	-0.0438	-0.2847	0.115
1957	0.0774	0.0112	-0.2171	0.2325	-0.0566	-0.0422	-0.282	0.1165
1958	-0.0166	0.0091	-0.2077	0.2262	-0.0564	-0.0406	-0.2796	0.1181
1959	-0.0423	-0.0119	-0.2556	0.1901	-0.056	-0.0392	-0.2773	0.1198
1960	-0.0146	0.0282	-0.2189	0.2286	-0.0555	-0.0379	-0.2746	0.1217
1961	0.0249	-0.0272	-0.2859	0.1761	-0.0548	-0.0364	-0.2722	0.1237
1962	-0.0395	-0.0528	-0.2759	0.1637	-0.0538	-0.0348	-0.2694	0.1259
1963	-0.0066	-0.0092	-0.2562	0.1922	-0.0526	-0.033	-0.2663	0.1284
1964	-0.2375	-0.1302	-0.386	0.0993	-0.0509	-0.0308	-0.2634	0.1312
1965	-0.1381	-0.1208	-0.3425	0.1042	-0.0489	-0.0284	-0.2602	0.134
1966	-0.0884	-0.0479	-0.3135	0.1501	-0.0463	-0.0257	-0.2567	0.1371
1967	-0.0356	-0.0518	-0.2952	0.152	-0.0433	-0.0228	-0.2531	0.1406
1968	-0.096	-0.1118	-0.3369	0.0915	-0.0396	-0.0195	-0.2491	0.1452
1969	0.0734	0.0296	-0.2458	0.2149	-0.0354	-0.0158	-0.2446	0.1499
1970	-0.089	-0.0693	-0.3029	0.1438	-0.0305	-0.0117	-0.2402	0.1551
1971	-0.1727	-0.1228	-0.3387	0.0978	-0.025	-0.0072	-0.2355	0.1606
1972	0.0187	-0.0739	-0.2856	0.1756	-0.0188	-0.0018	-0.2301	0.166
1973	-0.0708	-0.083	-0.2778	0.1596	-0.0119	0.0039	-0.2248	0.1714
1974	-0.1128	-0.0976	-0.2882	0.1503	-0.0042	0.0102	-0.2191	0.1782
1975	-0.1899	-0.1701	-0.3854	0.0961	0.0043	0.0172	-0.2121	0.1854
1976	-0.1498	-0.0604	-0.2839	0.1847	0.0135	0.0246	-0.2048	0.193
1977	0.0338	0.0225	-0.2049	0.243	0.0234	0.0322	-0.198	0.201
1978	-0.0789	-0.0419	-0.2724	0.173	0.0341	0.04	-0.1911	0.2081
1979	0.0961	0.1006	-0.1347	0.3036	0.0455	0.0479	-0.1841	0.2158
1980	0.1524	0.1082	-0.1169	0.3221	0.0575	0.0557	-0.1771	0.224
1981	0.0849	0.0879	-0.1299	0.3099	0.0701	0.0637	-0.1701	0.2324
1982	0.0697	0.064	-0.1878	0.2839	0.0833	0.0718	-0.1628	0.2409
1983	0.1169	0.0602	-0.1912	0.27	0.0971	0.0797	-0.1556	0.2485
1984	-0.0146	0.0071	-0.2145	0.2264	0.1114	0.0876	-0.1481	0.2566
1985	0.0189	0.0011	-0.2349	0.216	0.1261	0.0954	-0.1408	0.2646
1986	0.0291	0.0697	-0.1742	0.2828	0.1414	NA	NA	NA
1987	0.2071	0.0731	-0.1869	0.317	0.1571	NA	NA	NA
1988	0.1509	0.1892	-0.068	0.3881	0.1731	NA	NA	NA
1989	0.1719	0.1978	-0.0269	0.4138	0.1894	NA	NA	NA
1990	0.2715	0.2359	1e-04	0.46	0.2059	NA	NA	NA
1991	0.2841	0.2804	0.0171	0.4827	0.2226	NA	NA	NA
1992	0.0736	0.1739	-0.068	0.3971	0.2395	NA	NA	NA
1993	0.0899	0.1531	-0.1004	0.3719	0.2564	NA	NA	NA
1994	0.2775	0.3463	0.0519	0.5509	0.2733	NA	NA	NA
1995	0.2839	0.2331	-0.0674	0.462	0.2901	NA	NA	NA
1996	0.2225	0.2445	-0.0444	0.4779	0.3068	NA	NA	NA
1997	0.4407	0.3062	-0.0147	0.6536	0.3233	NA	NA	NA
1998	0.4736	0.4392	0.1264	0.7202	0.3394	NA	NA	NA
1999	0.2731	0.295	-0.0207	0.4991	0.3551	NA	NA	NA
2000	0.3099	0.2751	-0.0624	0.478	0.3704	NA	NA	NA
2001	0.5122	NA	NA	NA	0.385	NA	NA	NA
2002	0.4758	NA	NA	NA	0.3991	NA	NA	NA
2003	0.5133	NA	NA	NA	NA	NA	NA	NA
2004	0.4428	NA	NA	NA	NA	NA	NA	NA
2005	0.568	NA	NA	NA	NA	NA	NA	NA
2006	0.5629	NA	NA	NA	NA	NA	NA	NA
2007	0.4654	NA	NA	NA	NA	NA	NA	NA
2008	0.4543	NA	NA	NA	NA	NA	NA	NA
2009	0.6124	NA	NA	NA	NA	NA	NA	NA
2010	0.5504	NA	NA	NA	NA	NA	NA	NA
2011	0.4698	NA	NA	NA	NA	NA	NA	NA
2012	0.5389	NA	NA	NA	NA	NA	NA	NA
2013	0.5552	NA	NA	NA	NA	NA	NA	NA
2014	0.6543	NA	NA	NA	NA	NA	NA	NA
2015	0.8532	NA	NA	NA	NA	NA	NA	NA
2016	0.8148	NA	NA	NA	NA	NA	NA	NA
2017	0.6671	NA	NA	NA	NA	NA	NA	NA
